// Default SonarQube Java Rules - Sonar way profile
// Active rules: 513
// Source: Default SonarQube installation with Java plugin
//
// Quality Breakdown:
// - Security: 29 active rules
// - Reliability: 161 active rules
// - Maintainability: 294 active rules
//
// Clean Code Categories:
// - Consistency: 79 active rules
// - Intentionality: 348 active rules
// - Adaptability: 36 active rules
// - Responsibility: 14 active rules

// Default SonarQube Java Rules (541)
// Source: https://rules.sonarsource.com/java/

// Bugs (138)
Bug | "@NonNull" values should not be set to null
Code Smell | Source code should be indented consistently
Code Smell | Spring beans should be considered by "@ComponentScan"
Code Smell | Spring components should use constructor injection
Code Smell | Spring's ModelAndViewAssert assertions should be used instead of other assertions
Code Smell | Standard functional interfaces should not be redefined
Code Smell | Standard outputs should not be used directly to log anything
Code Smell | Statements should be on separate lines
Code Smell | Static fields should not be updated in constructors
Code Smell | Static non-final field names should comply with a naming convention
Code Smell | String literals should not be duplicated
Code Smell | String multiline concatenation should be replaced with Text Blocks
Code Smell | String offset-based methods should be preferred for finding substrings from offsets
Code Smell | String operations should not rely on the default system locale
Code Smell | Strings literals should be placed on the left side when checking for equality
Code Smell | Strings should not be concatenated using '+' in a loop
Code Smell | Subclasses that add fields to classes that override "equals" should also override "equals"
Code Smell | Superfluous "@ResponseBody" annotations should be removed
Code Smell | Superfluous curly brace quantifiers should be avoided
Code Smell | Switch arrow labels should not use redundant keywords
Code Smell | Switch cases should end with an unconditional "break" statement
Code Smell | Switches should be used for sequences of simple "String" tests
Code Smell | Synchronized classes "Vector", "Hashtable", "Stack" and "StringBuffer" should not be used
Code Smell | Synchronizing on a "Lock" object should be avoided
Code Smell | Tabulation characters should not be used
Code Smell | Ternary operators should not be nested
Code Smell | Test assertions should include messages
Code Smell | Test classes should comply with a naming convention
Code Smell | Test methods should comply with a naming convention
Code Smell | Test methods should not contain too many assertions
Code Smell | TestCases should contain tests
Code Smell | Tests should be kept in a dedicated source directory
Code Smell | Tests should be stable
Code Smell | Tests should include assertions
Code Smell | Tests should use fixed data instead of randomized data
Code Smell | Text blocks should not be used in complex expressions
Code Smell | The "Object.finalize()" method should not be overridden
Code Smell | The Singleton design pattern should be used with care
Code Smell | The default unnamed package should not be used
Code Smell | The diamond operator ("<>") should be used
Code Smell | The members of an interface or class declaration should appear in a pre-defined order
Code Smell | The names of methods with boolean return values should start with "is" or "has"
Code Smell | The ternary operator should not be used
Code Smell | The upper bound of type variables and wildcards should not be "final"
Code Smell | Threads should not be started in constructors
Code Smell | Throwable and Error should not be caught
Code Smell | Track comments matching a regular expression
Code Smell | Track lack of copyright and license headers
Code Smell | Track uses of "@SuppressWarnings" annotations
Code Smell | Track uses of "CHECKSTYLE:OFF" suppression comments
Code Smell | Track uses of "FIXME" tags
Code Smell | Track uses of "NOPMD" suppression comments
Code Smell | Track uses of "NOSONAR" comments
Code Smell | Track uses of "TODO" tags
Code Smell | Track uses of disallowed classes
Code Smell | Track uses of disallowed constructors
Code Smell | Track uses of disallowed methods
Code Smell | Try-catch blocks should not be nested
Code Smell | Try-with-resources should be used
Code Smell | Two branches in a conditional structure should not have exactly the same implementation
Code Smell | Type parameter names should comply with a naming convention
Code Smell | Type parameters should not shadow other type parameters
Code Smell | Types should be used in lambdas
Code Smell | Types used as keys in Maps should implement Comparable
Code Smell | URIs should not be hardcoded
Code Smell | Underscores should be used to make large numbers readable
Code Smell | Unicode-aware versions of character classes should be preferred
Code Smell | Unit tests should throw exceptions
Code Smell | Unnecessary bit operations should not be performed
Code Smell | Unnecessary imports should be removed
Code Smell | Unnecessary semicolons should be omitted
Code Smell | Unused "private" classes should be removed
Code Smell | Unused "private" fields should be removed
Code Smell | Unused "private" methods should be removed
Code Smell | Unused assignments should be removed
Code Smell | Unused labels should be removed
Code Smell | Unused local variables should be removed
Code Smell | Unused method parameters should be removed
Code Smell | Unused type parameters should be removed
Code Smell | Use Fused Location to optimize battery power
Code Smell | Use Java 14 "switch" expression
Code Smell | Use batch Processing in JDBC
Code Smell | Use built-in "Math.clamp" methods
Code Smell | Use record pattern instead of explicit field access
Code Smell | Use switch instead of if-else chain to compare a variable against multiple cases
Code Smell | Use when instead of a single if inside a pattern match body
Code Smell | Utility classes should not have public constructors
Code Smell | Value-based objects should not be serialized
Code Smell | Vararg method arguments should not be confusing
Code Smell | Variables should not be declared before they are relevant
Code Smell | Whitespace and control characters in literals should be explicit
Code Smell | Whitespace for text block indent should be consistent
Code Smell | Wildcard imports should not be used
