Code Smell       | Functions should not be defined with a variable number of arguments
Code Smell       | "==" and "!=" should not be used when "equals" is overridden
Code Smell       | "NullPointerException" should not be caught
Code Smell       | "NullPointerException" should not be explicitly thrown
Code Smell       | An abstract class should have both abstract and concrete methods
Code Smell       | Multiple variables should not be declared on the same line
Bug              | Variables should not be self-assigned
Code Smell       | Strings should not be concatenated using '+' in a loop
Code Smell       | Sets with elements that are enum values should be replaced with EnumSet
Code Smell       | Maps with keys that are enum values should use the EnumMap implementation
Code Smell       | Lambdas should be replaced with method references
Code Smell       | Parentheses should be removed from a single lambda parameter when its type is inferred
Code Smell       | Abstract classes without fields should be converted to interfaces
Code Smell       | JUnit4 @Ignored and JUnit5 @Disabled annotations should be used to disable tests and should provide a rationale
Code Smell       | Anonymous inner classes containing only one method should become lambdas
Code Smell       | Lambdas containing only one statement should not nest this statement in a block
Code Smell       | Package declaration should match source file directory
Code Smell       | "Collections.EMPTY_LIST", "EMPTY_MAP", and "EMPTY_SET" should not be used
Code Smell       | Methods should not be too complex
Code Smell       | Local variables should not be declared and then immediately returned or thrown
Code Smell       | Unused local variables should be removed
Code Smell       | "switch" statements should not have too many "case" clauses
Code Smell       | Generic wildcard types should not be used in return types
Code Smell       | Track lack of copyright and license headers
Code Smell       | Private fields only used as local variables in methods should become local variables
Code Smell       | String operations should not rely on the default system locale
Code Smell       | Classes should not have too many methods
Code Smell       | "public static" fields should be constant
Code Smell       | Comments should not be located at the end of lines of code
Code Smell       | Methods should not have too many lines
Code Smell       | Loops should not contain more than a single "break" or "continue" statement
Code Smell       | Control flow statements "if", "for", "while", "switch" and "try" should not be nested too deeply
Code Smell       | Declarations should use Java collection interfaces such as "List" rather than specific implementation classes such as "LinkedList"
Bug              | "StringBuilder" and "StringBuffer" should not be instantiated with a character
Code Smell       | Track uses of "CHECKSTYLE:OFF" suppression comments
Code Smell       | Octal values should not be used
Security Hotspot | Using hardcoded IP addresses is security-sensitive
Code Smell       | Loggers should be "private static final" and should share a naming convention
Code Smell       | Track uses of "NOPMD" suppression comments
Code Smell       | "switch" statements should have "default" clauses
Code Smell       | Track uses of "@SuppressWarnings" annotations
Code Smell       | "switch" statements should have at least 3 "case" clauses
Code Smell       | Track uses of "NOSONAR" comments
Code Smell       | Switch cases should end with an unconditional "break" statement
Code Smell       | "for" loop stop conditions should be invariant
Code Smell       | A "while" loop should be used instead of a "for" loop
Code Smell       | "if ... else if" constructs should end with "else" clauses
Code Smell       | Classes and enums with private members should have a constructor
Code Smell       | Sections of code should not be commented out
Bug              | Floating point numbers should not be tested for equality
Code Smell       | Track comments matching a regular expression
Code Smell       | Packages should have a javadoc file 'package-info.java'
Bug              | Method parameters, caught exceptions and foreach variables' initial values should not be ignored
Code Smell       | Non-constructor methods should not have the same name as the enclosing class
Bug              | Methods should not be named "tostring", "hashcode" or "equal"
Code Smell       | The default unnamed package should not be used
Code Smell       | Statements should be on separate lines
Code Smell       | "switch" statements should not contain non-case labels
Bug              | "Thread.run()" should not be called directly
Code Smell       | Execution of the Garbage Collector should be triggered only by the JVM
Code Smell       | Interfaces should not solely consist of constants
Code Smell       | The members of an interface or class declaration should appear in a pre-defined order
Code Smell       | "equals(Object obj)" should be overridden along with the "compareTo(T obj)" method
Code Smell       | Control structures should use curly braces
Bug              | "equals(Object obj)" and "hashCode()" should be overridden in pairs
Bug              | "equals" method overrides should accept "Object" parameters
Code Smell       | Classes should not be coupled to too many other classes
Code Smell       | Package names should comply with a naming convention
Code Smell       | Nested code blocks should not be used
Code Smell       | Array designators "[]" should be on the type, not the variable
Code Smell       | Array designators "[]" should be located after the type in method signatures
Code Smell       | "java.lang.Error" should not be extended
Code Smell       | Exception types should not be tested using "instanceof" in catch blocks
Code Smell       | String literals should not be duplicated
Code Smell       | Classes from "sun.*" packages should not be used
Code Smell       | Future keywords should not be used as names
Code Smell       | Type parameter names should comply with a naming convention
Code Smell       | Anonymous classes should not have too many lines
Code Smell       | Methods should not be empty
Code Smell       | Overriding methods should do more than simply call the same method in the super class
Code Smell       | Classes that override "clone" should be "Cloneable" and call "super.clone()"
Code Smell       | Throwable and Error should not be caught
Code Smell       | Abstract class names should comply with a naming convention
Code Smell       | Public types, methods and fields (API) should be documented with Javadoc
Bug              | The signature of "finalize()" should match that of "Object.finalize()"
Code Smell       | "Object.finalize()" should remain protected (versus public) when overriding
Code Smell       | Unused method parameters should be removed
Code Smell       | Only static class initializers should be used
Code Smell       | Public constants and fields initialized at declaration should be "static final" rather than merely "final"
Code Smell       | Local variable and method parameter names should comply with a naming convention
Code Smell       | Empty arrays and collections should be returned instead of null
Code Smell       | Exception handlers should preserve the original exceptions
Code Smell       | Exception classes should have final fields
Code Smell       | Exceptions should not be thrown in finally blocks
Code Smell       | Checked exceptions should not be thrown
Code Smell       | "@Override" should be used on overriding and implementing methods
Code Smell       | Public methods should throw at most one checked exception
Code Smell       | Field names should comply with a naming convention
Code Smell       | Primitive wrappers should not be instantiated only for "toString" or "compareTo" calls
Code Smell       | Case insensitive string comparisons should be made without intermediate upper or lower casing
Code Smell       | "Collection.isEmpty()" should be used to test for emptiness
Code Smell       | "String.valueOf()" should not be appended to a "String"
Code Smell       | "switch case" clauses should not have too many lines of code
Code Smell       | "Enumeration" should not be implemented
Code Smell       | Constant names should comply with a naming convention
Code Smell       | Synchronized classes "Vector", "Hashtable", "Stack" and "StringBuffer" should not be used
Code Smell       | Exit methods should not be called
Code Smell       | Unused "private" methods should be removed
Bug              | Jump statements should not occur in "finally" blocks
Code Smell       | Methods should not have too many return statements
Code Smell       | Try-catch blocks should not be nested
Code Smell       | Interface names should comply with a naming convention
Code Smell       | Track uses of "TODO" tags
Code Smell       | Track uses of "FIXME" tags
Code Smell       | Deprecated code should be removed
Code Smell       | Strings literals should be placed on the left side when checking for equality
Code Smell       | Exceptions in "throws" clauses should not be superfluous
Code Smell       | Files should end with a newline
Code Smell       | Unnecessary imports should be removed
Code Smell       | Return of boolean expressions should not be wrapped into an "if-then-else" statement
Code Smell       | Boolean literals should not be redundant
Code Smell       | Modifiers should be declared in the correct order
Code Smell       | Deprecated elements should have both the annotation and the Javadoc tag
Code Smell       | Assignments should not be made from within sub-expressions
Code Smell       | Source code should be indented consistently
Code Smell       | Generic exceptions should never be thrown
Code Smell       | Labels should not be used
Code Smell       | Utility classes should not have public constructors
Code Smell       | Local variables should not shadow class fields
Code Smell       | Empty statements should be removed
Bug              | "super.finalize()" should be called at the end of "Object.finalize()" implementations
Code Smell       | The "Object.finalize()" method should not be overridden
Bug              | The "Object.finalize()" method should not be called
Code Smell       | Redundant pairs of parentheses should be removed
Code Smell       | A close curly brace should be located at the beginning of a line
Code Smell       | Close curly brace and the next "else", "catch" and "finally" keywords should be on two different lines
Code Smell       | Close curly brace and the next "else", "catch" and "finally" keywords should be located on the same line
Code Smell       | An open curly brace should be located at the beginning of a line
Code Smell       | An open curly brace should be located at the end of a line
Code Smell       | Class variable fields should not have public accessibility
Code Smell       | Inheritance tree of classes should not be too deep
Code Smell       | Magic numbers should not be used
Code Smell       | Nested blocks of code should not be left empty
Code Smell       | URIs should not be hardcoded
Code Smell       | Methods should not have too many parameters
Code Smell       | Unused "private" fields should be removed
Code Smell       | Expressions should not be too complex
Code Smell       | Mergeable "if" statements should be combined
Code Smell       | Unused labels should be removed
Code Smell       | Standard outputs should not be used directly to log anything
Code Smell       | Tabulation characters should not be used
Code Smell       | Files should not have too many lines of code
Code Smell       | Lines should not be too long
Code Smell       | Class names should comply with a naming convention
Code Smell       | Method names should comply with a naming convention
